日期,調整收盤價
2018-01-02,15.682724
2018-01-03,15.825122
2018-01-04,15.853601
2018-01-05,15.901069
2018-01-08,15.967523
2018-01-09,15.977015
2018-01-10,15.901069
2018-01-11,15.834613
2018-01-12,15.967523
2018-01-15,16.071947
2018-01-16,16.138397
2018-01-17,16.166876
2018-01-18,16.385223
2018-01-19,16.546606
2018-01-22,16.698494
2018-01-23,16.764950
2018-01-24,16.556099
2018-01-25,16.603561
2018-01-26,16.613060
2018-01-29,16.661753
2018-01-30,16.466988
2018-01-31,16.486464
2018-02-01,16.603317
2018-02-02,16.535151
2018-02-05,16.281965
2018-02-06,15.512661
2018-02-07,15.707423
2018-02-08,15.697682
2018-02-09,15.395803
2018-02-12,15.522397
2018-02-21,15.872967
2018-02-22,15.775585
2018-02-23,15.970346
2018-02-26,16.048252
2018-02-27,16.038515
2018-03-01,15.921659
2018-03-02,15.804801
2018-03-05,15.726895
2018-03-06,15.999560
2018-03-07,15.931396
2018-03-08,16.116419
2018-03-09,16.135895
2018-03-12,16.389086
2018-03-13,16.544888
2018-03-14,16.418297
2018-03-15,16.408556
2018-03-16,16.340389
2018-03-19,16.330652
2018-03-20,16.320917
2018-03-21,16.330652
2018-03-22,16.272228
2018-03-23,15.989823
2018-03-26,16.009296
2018-03-27,16.243010
2018-03-28,16.019035
2018-03-29,15.989823
2018-03-30,16.135895
2018-04-02,16.019035
2018-04-03,15.872967
2018-04-09,16.009296
2018-04-10,16.067726
2018-04-11,16.135895
2018-04-12,16.067726
2018-04-13,16.067726
2018-04-16,16.028778
2018-04-17,15.853495
2018-04-18,15.892447
2018-04-19,16.096941
2018-04-20,15.726895
2018-04-23,15.571087
2018-04-24,15.493185
2018-04-25,15.444497
2018-04-26,15.395803
2018-04-27,15.425019
2018-04-30,15.580824
2018-05-02,15.463969
2018-05-03,15.298428
2018-05-04,15.376328
2018-05-07,15.483446
2018-05-08,15.580824
2018-05-09,15.668468
2018-05-10,15.707423
2018-05-11,15.892447
2018-05-14,16.067726
2018-05-15,15.902183
2018-05-16,15.921659
2018-05-17,15.814538
2018-05-18,15.765846
2018-05-21,15.980083
2018-05-22,15.921659
2018-05-23,15.843752
2018-05-24,15.882705
2018-05-25,15.941135
2018-05-28,16.009296
2018-05-29,15.941135
2018-05-30,15.658731
2018-05-31,15.726895
2018-06-01,15.843752
2018-06-04,16.087204
2018-06-05,16.067726
2018-06-06,16.223537
2018-06-07,16.252748
2018-06-08,16.077467
2018-06-11,16.096941
2018-06-12,16.067726
2018-06-13,16.165108
2018-06-14,15.921659
2018-06-15,15.960608
2018-06-19,15.697682
2018-06-20,15.872967
2018-06-21,15.824277
2018-06-22,15.804801
2018-06-25,15.756113
2018-06-26,15.717158
2018-06-27,15.658731
2018-06-28,15.590565
2018-06-29,15.863230
2018-07-02,15.785326
2018-07-03,15.804801
2018-07-04,15.853495
2018-07-05,15.726895
2018-07-06,15.765846
2018-07-09,16.019035
2018-07-10,16.057987
2018-07-11,15.911918
2018-07-12,16.096941
2018-07-13,16.233271
2018-07-16,16.165108
2018-07-17,16.077467
2018-07-18,16.174845
2018-07-19,16.223537
2018-07-20,16.486464
2018-07-23,16.604296
2018-07-24,16.633749
2018-07-25,16.643566
2018-07-26,16.692663
2018-07-27,16.830135
2018-07-30,16.800678
2018-07-31,16.800678
2018-08-01,16.918510
2018-08-02,16.663206
2018-08-03,16.800678
2018-08-06,16.830135
2018-08-07,16.790857
2018-08-08,16.918510
2018-08-09,16.918510
2018-08-10,16.830135
2018-08-13,16.486464
2018-08-14,16.604296
2018-08-15,16.447184
2018-08-16,16.457006
2018-08-17,16.427549
2018-08-20,16.486464
2018-08-21,16.604296
2018-08-22,16.623932
2018-08-23,16.702486
2018-08-24,16.653389
2018-08-27,16.800678
2018-08-28,16.938148
2018-08-29,17.134533
2018-08-30,17.193447
2018-08-31,17.075617
2018-09-03,16.977425
2018-09-04,17.085434
2018-09-05,17.085434
2018-09-06,16.987244
2018-09-07,16.967604
2018-09-10,16.889051
2018-09-11,16.820316
2018-09-12,16.800678
2018-09-13,16.682848
2018-09-14,16.987244
2018-09-17,16.859596
2018-09-18,16.771221
2018-09-19,16.918510
2018-09-20,16.869411
2018-09-21,17.055979
2018-09-25,17.105072
2018-09-26,17.065796
2018-09-27,17.154169
2018-09-28,17.065796
2018-10-01,17.154169
2018-10-02,16.898865
2018-10-03,16.879234
2018-10-04,16.673027
2018-10-05,16.388266
2018-10-08,16.299896
2018-10-09,16.348995
2018-10-11,15.200149
2018-10-12,15.720565
2018-10-15,15.553638
2018-10-16,15.573276
2018-10-17,15.592915
2018-10-18,15.543817
2018-10-19,15.573276
2018-10-22,15.553638
2018-10-23,15.268881
2018-10-24,15.200149
2018-10-25,14.827012
2018-10-26,14.807378
2018-10-29,14.876110
2018-10-30,14.915385
2018-10-31,15.229603
2018-11-01,15.396528
2018-11-02,15.445627
2018-11-05,15.367072
2018-11-06,15.317980
2018-11-07,15.396528
2018-11-08,15.484904
2018-11-09,15.278698
2018-11-12,15.317980
2018-11-13,15.141232
2018-11-14,15.190327
2018-11-15,15.239422
2018-11-16,15.111771
2018-11-19,15.062676
2018-11-20,14.925209
2018-11-21,14.925209
2018-11-22,14.846653
2018-11-23,14.797557
2018-11-26,14.954667
2018-11-27,14.935027
2018-11-28,15.101953
2018-11-29,15.131413
2018-11-30,15.072495
2018-12-03,15.475084
2018-12-04,15.367072
2018-12-05,15.052855
2018-12-06,14.748464
2018-12-07,14.817194
2018-12-10,14.620812
2018-12-11,14.738641
2018-12-12,14.964487
2018-12-13,14.984123
2018-12-14,14.797557
2018-12-17,14.915385
2018-12-18,14.787741
2018-12-19,14.905569
2018-12-20,14.738641
2018-12-21,14.768098
2018-12-24,14.669907
2018-12-25,14.483338
2018-12-26,14.444069
2018-12-27,14.738641
2018-12-28,14.827012
2019-01-02,14.542256
2019-01-03,14.404788
2019-01-04,14.178946
2019-01-07,14.522617
2019-01-08,14.463702
2019-01-09,14.728825
2019-01-10,14.689548
2019-01-11,14.827012
2019-01-14,14.728825
2019-01-15,14.856474
2019-01-16,14.836836
2019-01-17,14.836836
2019-01-18,14.915385
2019-01-21,15.023397
2019-01-22,14.993032
2019-01-23,14.922166
2019-01-24,14.993032
2019-01-25,15.185379
2019-01-28,15.215749
2019-01-29,15.084140
2019-01-30,15.053771
2019-02-11,15.215749
