日期,0050調整收盤價,臺灣加權指數調整收盤價
2018/1/31,16.49,11103.79
2018/2/27,16.04,10815.47
2018/3/30,16.14,10906.22
2018/4/30,15.58,10657.88
2018/5/31,15.73,10874.96
2018/6/29,15.86,10836.91
2018/7/31,16.80,11057.51
2018/8/31,17.08,11063.94
2018/9/28,17.07,11006.34
2018/10/31,15.23,9802.13
2018/11/30,15.07,9888.03
2018/12/28,14.83,9727.41
2019/1/30,15.05,9932.26
2019/2/27,15.72,10389.17
2019/3/29,16.03,10641.04
2019/4/30,16.76,10967.73
2019/5/31,15.88,10498.49
2019/6/28,16.38,10730.83
2019/7/31,16.91,10823.81
2019/8/30,16.71,10618.05
2019/9/27,17.28,10829.68
2019/10/31,18.40,11358.71
2019/11/29,18.68,11489.57
2019/12/31,19.80,11997.14
2020/1/31,18.96,11495.10
2020/2/27,18.69,11292.17
2020/3/31,16.06,9708.06
2020/4/30,18.03,10992.14
2020/5/29,17.81,10942.16
2020/6/30,18.95,11621.24
2020/7/31,22.04,12664.80
2020/8/31,21.62,12591.45
2020/9/30,21.87,12515.61
2020/10/30,21.87,12546.34
2020/11/30,24.06,13722.89
2020/12/31,25.96,14732.53
2021/1/29,27.82,15138.31
2021/2/26,28.95,15953.80
2021/3/31,29.24,16431.13
2021/4/29,30.51,17566.66
2021/5/31,29.75,17068.43
2021/6/30,30.15,17755.46
2021/7/30,29.60,17247.41
2021/8/31,30.53,17490.29
2021/9/30,29.82,16934.77
2021/10/29,29.54,16987.41
2021/11/30,30.02,17427.76
2021/12/30,31.65,18218.84
2022/1/26,31.47,17674.40
2022/2/25,30.79,17652.18
2022/3/31,30.70,17693.47
2022/4/29,28.62,16592.18
2022/5/31,28.86,16807.77
2022/6/30,25.74,14825.73
2022/7/29,26.65,15000.07
2022/8/31,26.61,15095.44
2022/9/30,23.41,13424.58
2022/10/31,22.41,12949.75
2022/11/30,26.33,14879.55
2022/12/30,24.94,14137.69
2023/1/31,27.37,15265.20
2023/2/24,27.49,15503.79
2023/3/31,28.14,15868.06
2023/4/28,27.16,15579.18
2023/5/31,29.19,16578.96
2023/6/30,29.87,16915.54
2023/7/31,30.24,17145.43
2023/8/31,29.51,16634.51
2023/9/28,28.79,16353.74
2023/10/31,28.44,16001.27
2023/11/30,30.84,17433.85
2023/12/29,31.80,17930.81
2024/1/31,32.28,17889.56
2024/2/29,34.43,18966.77
2024/3/29,37.91,20294.45
2024/4/30,38.02,20396.60
2024/5/31,39.88,21174.22
2024/6/28,44.79,23032.25
2024/7/31,43.67,22199.35
2024/8/30,43.79,22268.09
2024/9/30,44.42,22224.54
2024/10/30,46.31,22820.43
2024/11/29,45.21,22262.50
2024/12/31,47.27,23035.10
2025/1/22,49.28,23525.41
2025/2/27,47.12,23053.18
2025/3/31,42.29,20695.90
2025/4/30,41.27,20235.03
2025/5/29,44.00,21347.30
2025/6/30,47.35,22256.02
2025/7/31,50.83,23542.52
2025/8/29,51.77,24233.10
2025/9/30,57.00,25820.54
2025/10/31,63.85,28233.35
2025/11/28,61.48,27626.48
2025/12/31,64.69,28963.60
2026/1/30,72.60,32063.75
2026/2/26,81.15,35414.49
2026/3/31,72.35,31722.99
2026/4/30,90.50,38926.63
2026/5/29,105.40,44732.94
2026/6/30,107.80,46125.91
