日期,調整收盤價
2018-01-02,10710.730469
2018-01-03,10801.570312
2018-01-04,10848.629883
2018-01-05,10879.799805
2018-01-08,10915.750000
2018-01-09,10914.889648
2018-01-10,10831.089844
2018-01-11,10810.059570
2018-01-12,10883.959961
2018-01-15,10956.309570
2018-01-16,10986.110352
2018-01-17,11004.799805
2018-01-18,11071.570312
2018-01-19,11150.849609
2018-01-22,11231.459961
2018-01-23,11253.110352
2018-01-24,11152.160156
2018-01-25,11165.950195
2018-01-26,11147.099609
2018-01-29,11221.809570
2018-01-30,11076.780273
2018-01-31,11103.790039
2018-02-01,11160.250000
2018-02-02,11126.230469
2018-02-05,10946.250000
2018-02-06,10404.000000
2018-02-07,10551.540039
2018-02-08,10528.519531
2018-02-09,10371.750000
2018-02-12,10421.089844
2018-02-21,10714.440430
2018-02-22,10662.379883
2018-02-23,10794.549805
2018-02-26,10836.700195
2018-02-27,10815.469727
2018-03-01,10785.790039
2018-03-02,10698.169922
2018-03-05,10642.900391
2018-03-06,10784.339844
2018-03-07,10745.320312
2018-03-08,10823.240234
2018-03-09,10864.820312
2018-03-12,11002.099609
2018-03-13,11095.629883
2018-03-14,11038.799805
2018-03-15,11018.450195
2018-03-16,11027.700195
2018-03-19,11046.900391
2018-03-20,11010.839844
2018-03-21,11011.070312
2018-03-22,11005.839844
2018-03-23,10823.330078
2018-03-26,10840.049805
2018-03-27,10986.790039
2018-03-28,10865.660156
2018-03-29,10845.919922
2018-03-30,10906.219727
2018-04-02,10888.269531
2018-04-03,10821.530273
2018-04-09,10893.530273
2018-04-10,10927.179688
2018-04-11,10974.019531
2018-04-12,10955.290039
2018-04-13,10965.389648
2018-04-16,10954.549805
2018-04-17,10810.450195
2018-04-18,10847.889648
2018-04-19,10971.219727
2018-04-20,10779.379883
2018-04-23,10697.129883
2018-04-24,10579.500000
2018-04-25,10559.969727
2018-04-26,10488.580078
2018-04-27,10553.429688
2018-04-30,10657.879883
2018-05-02,10618.809570
2018-05-03,10514.179688
2018-05-04,10529.370117
2018-05-07,10604.910156
2018-05-08,10691.379883
2018-05-09,10703.349609
2018-05-10,10760.209961
2018-05-11,10858.980469
2018-05-14,10952.389648
2018-05-15,10874.730469
2018-05-16,10897.570312
2018-05-17,10833.809570
2018-05-18,10830.839844
2018-05-21,10966.200195
2018-05-22,10938.730469
2018-05-23,10886.179688
2018-05-24,10936.929688
2018-05-25,10942.299805
2018-05-28,10987.769531
2018-05-29,10964.120117
2018-05-30,10821.169922
2018-05-31,10874.959961
2018-06-01,10949.080078
2018-06-04,11109.500000
2018-06-05,11100.110352
2018-06-06,11201.830078
2018-06-07,11251.750000
2018-06-08,11156.419922
2018-06-11,11149.230469
2018-06-12,11144.790039
2018-06-13,11173.209961
2018-06-14,11013.980469
2018-06-15,11087.469727
2018-06-19,10904.190430
2018-06-20,10927.440430
2018-06-21,10941.070312
2018-06-22,10899.280273
2018-06-25,10786.459961
2018-06-26,10742.169922
2018-06-27,10701.030273
2018-06-28,10654.280273
2018-06-29,10836.910156
2018-07-02,10777.940430
2018-07-03,10715.719727
2018-07-04,10721.870117
2018-07-05,10611.809570
2018-07-06,10608.570312
2018-07-09,10720.280273
2018-07-10,10756.889648
2018-07-11,10676.839844
2018-07-12,10738.379883
2018-07-13,10864.540039
2018-07-16,10817.450195
2018-07-17,10778.990234
2018-07-18,10842.459961
2018-07-19,10835.379883
2018-07-20,10932.110352
2018-07-23,10946.889648
2018-07-24,10995.389648
2018-07-25,10965.790039
2018-07-26,11010.610352
2018-07-27,11075.780273
2018-07-30,11033.540039
2018-07-31,11057.509766
2018-08-01,11098.129883
2018-08-02,10929.769531
2018-08-03,11012.429688
2018-08-06,11024.099609
2018-08-07,10983.440430
2018-08-08,11075.250000
2018-08-09,11028.070312
2018-08-10,10983.679688
2018-08-13,10748.919922
2018-08-14,10824.230469
2018-08-15,10716.750000
2018-08-16,10683.900391
2018-08-17,10690.959961
2018-08-20,10699.049805
2018-08-21,10792.200195
2018-08-22,10804.200195
2018-08-23,10863.129883
2018-08-24,10809.349609
2018-08-27,10902.209961
2018-08-28,10989.549805
2018-08-29,11099.570312
2018-08-30,11093.750000
2018-08-31,11063.940430
2018-09-03,10964.219727
2018-09-04,11021.379883
2018-09-05,10995.129883
2018-09-06,10924.299805
2018-09-07,10846.990234
2018-09-10,10725.799805
2018-09-11,10752.299805
2018-09-12,10722.570312
2018-09-13,10727.230469
2018-09-14,10868.139648
2018-09-17,10828.610352
2018-09-18,10760.209961
2018-09-19,10857.269531
2018-09-20,10831.410156
2018-09-21,10972.410156
2018-09-25,10978.849609
2018-09-26,10974.190430
2018-09-27,11034.190430
2018-09-28,11006.339844
2018-10-01,11051.799805
2018-10-02,10919.629883
2018-10-03,10863.940430
2018-10-04,10718.910156
2018-10-05,10517.120117
2018-10-08,10455.929688
2018-10-09,10466.830078
2018-10-11,9806.110352
2018-10-12,10045.809570
2018-10-15,9901.120117
2018-10-16,9981.099609
2018-10-17,9979.139648
2018-10-18,9953.730469
2018-10-19,9919.259766
2018-10-22,9974.280273
2018-10-23,9775.200195
2018-10-24,9759.400391
2018-10-25,9520.790039
2018-10-26,9489.179688
2018-10-29,9516.320312
2018-10-30,9526.110352
2018-10-31,9802.129883
2018-11-01,9844.740234
2018-11-02,9906.589844
2018-11-05,9889.809570
2018-11-06,9824.950195
2018-11-07,9908.349609
2018-11-08,9945.309570
2018-11-09,9830.009766
2018-11-12,9831.209961
2018-11-13,9775.839844
2018-11-14,9791.879883
2018-11-15,9826.459961
2018-11-16,9797.089844
2018-11-19,9828.690430
2018-11-20,9743.990234
2018-11-21,9741.519531
2018-11-22,9714.709961
2018-11-23,9667.299805
2018-11-26,9765.360352
2018-11-27,9778.620117
2018-11-28,9884.309570
2018-11-29,9885.360352
2018-11-30,9888.030273
2018-12-03,10137.870117
2018-12-04,10083.540039
2018-12-05,9916.740234
2018-12-06,9684.719727
2018-12-07,9760.879883
2018-12-10,9647.540039
2018-12-11,9707.040039
2018-12-12,9816.450195
2018-12-13,9858.759766
2018-12-14,9774.160156
2018-12-17,9787.530273
2018-12-18,9718.820312
2018-12-19,9783.209961
2018-12-20,9674.519531
2018-12-21,9676.669922
2018-12-24,9639.700195
2018-12-25,9527.089844
2018-12-26,9478.990234
2018-12-27,9641.559570
2018-12-28,9727.410156
2019-01-02,9554.139648
2019-01-03,9492.419922
2019-01-04,9382.509766
2019-01-07,9590.299805
2019-01-08,9563.599609
2019-01-09,9738.309570
2019-01-10,9720.690430
2019-01-11,9759.400391
2019-01-14,9708.219727
2019-01-15,9806.040039
2019-01-16,9763.809570
2019-01-17,9789.150391
2019-01-18,9836.059570
2019-01-21,9889.400391
2019-01-22,9894.660156
2019-01-23,9846.400391
2019-01-24,9877.120117
2019-01-25,9969.610352
2019-01-28,10013.330078
2019-01-29,9931.589844
2019-01-30,9932.259766
2019-02-11,10004.250000
2019-02-12,10097.740234
2019-02-13,10090.580078
2019-02-14,10089.009766
2019-02-15,10064.780273
2019-02-18,10145.280273
2019-02-19,10152.259766
2019-02-20,10272.459961
2019-02-21,10319.530273
2019-02-22,10322.919922
2019-02-25,10390.929688
2019-02-26,10391.549805
2019-02-27,10389.169922
2019-03-04,10349.879883
2019-03-05,10305.259766
2019-03-06,10357.150391
2019-03-07,10311.679688
2019-03-08,10241.750000
2019-03-11,10250.280273
2019-03-12,10343.330078
2019-03-13,10373.320312
2019-03-14,10348.650391
2019-03-15,10439.240234
2019-03-18,10512.700195
2019-03-19,10512.320312
2019-03-20,10551.559570
2019-03-21,10609.549805
2019-03-22,10639.070312
2019-03-25,10479.480469
2019-03-26,10559.200195
2019-03-27,10542.700195
2019-03-28,10536.259766
2019-03-29,10641.040039
2019-04-01,10642.629883
2019-04-02,10690.299805
2019-04-03,10704.379883
2019-04-08,10800.570312
2019-04-09,10851.599609
2019-04-10,10868.139648
2019-04-11,10808.769531
2019-04-12,10805.299805
2019-04-15,10875.599609
2019-04-16,10927.849609
2019-04-17,10997.259766
2019-04-18,10962.019531
2019-04-19,10968.500000
2019-04-22,10987.709961
2019-04-23,11025.679688
2019-04-24,11027.639648
2019-04-25,11039.860352
2019-04-26,10952.469727
2019-04-29,10939.059570
2019-04-30,10967.730469
2019-05-02,11004.490234
2019-05-03,11096.299805
2019-05-06,10897.120117
2019-05-07,10987.139648
2019-05-08,10923.709961
2019-05-09,10733.669922
2019-05-10,10712.990234
2019-05-13,10558.290039
2019-05-14,10519.250000
2019-05-15,10560.709961
2019-05-16,10474.610352
2019-05-17,10384.110352
2019-05-20,10398.410156
2019-05-21,10464.500000
2019-05-22,10457.219727
2019-05-23,10308.370117
2019-05-24,10328.280273
2019-05-27,10334.129883
2019-05-28,10312.309570
2019-05-29,10301.780273
2019-05-30,10382.990234
2019-05-31,10498.490234
2019-06-03,10500.070312
2019-06-04,10429.120117
2019-06-05,10461.620117
2019-06-06,10409.200195
2019-06-10,10566.469727
2019-06-11,10607.759766
2019-06-12,10615.660156
2019-06-13,10561.009766
2019-06-14,10524.669922
2019-06-17,10530.540039
2019-06-18,10566.740234
2019-06-19,10775.339844
2019-06-20,10785.009766
2019-06-21,10803.769531
2019-06-24,10779.450195
2019-06-25,10706.719727
2019-06-26,10652.549805
2019-06-27,10773.900391
2019-06-28,10730.830078
2019-07-01,10895.459961
2019-07-02,10865.120117
2019-07-03,10743.769531
2019-07-04,10775.900391
2019-07-05,10785.730469
2019-07-08,10751.219727
2019-07-09,10702.780273
2019-07-10,10798.480469
2019-07-11,10843.419922
2019-07-12,10824.349609
2019-07-15,10876.429688
2019-07-16,10886.049805
2019-07-17,10828.480469
2019-07-18,10799.280273
2019-07-19,10873.190430
2019-07-22,10944.530273
2019-07-23,10947.259766
2019-07-24,10935.759766
2019-07-25,10941.410156
2019-07-26,10891.980469
2019-07-29,10885.730469
2019-07-30,10830.900391
2019-07-31,10823.809570
2019-08-01,10731.750000
2019-08-02,10549.040039
2019-08-05,10423.410156
2019-08-06,10394.750000
2019-08-07,10386.179688
2019-08-08,10494.490234
2019-08-12,10472.360352
2019-08-13,10362.660156
2019-08-14,10427.730469
2019-08-15,10327.129883
2019-08-16,10420.889648
2019-08-19,10488.750000
2019-08-20,10522.500000
2019-08-21,10525.799805
2019-08-22,10529.780273
2019-08-23,10538.110352
2019-08-26,10354.570312
2019-08-27,10387.230469
2019-08-28,10434.290039
2019-08-29,10462.429688
2019-08-30,10618.049805
2019-09-02,10634.849609
2019-09-03,10558.209961
2019-09-04,10657.309570
2019-09-05,10756.929688
2019-09-06,10780.639648
2019-09-10,10753.580078
2019-09-11,10790.349609
2019-09-12,10827.549805
2019-09-16,10898.129883
2019-09-17,10874.500000
2019-09-18,10929.450195
2019-09-19,10894.700195
2019-09-20,10929.690430
2019-09-23,10919.019531
2019-09-24,10918.009766
2019-09-25,10873.690430
2019-09-26,10871.990234
2019-09-27,10829.679688
2019-10-01,10967.650391
2019-10-02,10947.879883
2019-10-03,10875.910156
2019-10-04,10894.480469
2019-10-07,10935.059570
2019-10-08,11017.309570
2019-10-09,10889.959961
2019-10-14,11066.950195
2019-10-15,11111.799805
2019-10-16,11162.830078
2019-10-17,11186.879883
2019-10-18,11180.219727
2019-10-21,11184.150391
2019-10-22,11271.250000
2019-10-23,11239.669922
2019-10-24,11320.139648
2019-10-25,11296.120117
2019-10-28,11315.019531
2019-10-29,11333.870117
2019-10-30,11380.280273
2019-10-31,11358.709961
2019-11-01,11399.530273
2019-11-04,11556.849609
2019-11-05,11644.030273
2019-11-06,11653.070312
2019-11-07,11606.559570
2019-11-08,11579.540039
2019-11-11,11427.280273
2019-11-12,11520.370117
2019-11-13,11467.830078
2019-11-14,11450.419922
2019-11-15,11525.599609
2019-11-18,11599.780273
2019-11-19,11656.400391
2019-11-20,11631.200195
2019-11-21,11558.269531
2019-11-22,11566.799805
2019-11-25,11561.580078
2019-11-26,11576.820312
2019-11-27,11647.459961
2019-11-28,11617.080078
2019-11-29,11489.570312
2019-12-02,11502.830078
2019-12-03,11531.580078
2019-12-04,11510.469727
2019-12-05,11594.650391
2019-12-06,11609.639648
2019-12-09,11660.769531
2019-12-10,11627.839844
2019-12-11,11700.769531
2019-12-12,11836.419922
2019-12-13,11927.730469
2019-12-16,11939.769531
2019-12-17,12097.009766
2019-12-18,12122.450195
2019-12-19,12018.900391
2019-12-20,11959.080078
2019-12-23,12022.230469
2019-12-24,11976.379883
2019-12-25,12008.129883
2019-12-26,12001.009766
2019-12-27,12091.589844
2019-12-30,12053.370117
2019-12-31,11997.139648
2020-01-02,12100.480469
2020-01-03,12110.429688
2020-01-06,11953.360352
2020-01-07,11880.320312
2020-01-08,11817.099609
2020-01-09,11970.629883
2020-01-10,12024.650391
2020-01-13,12113.419922
2020-01-14,12179.809570
2020-01-15,12091.879883
2020-01-16,12066.929688
2020-01-17,12090.290039
2020-01-20,12118.709961
2020-01-30,11421.740234
2020-01-31,11495.099609
2020-02-03,11354.919922
2020-02-04,11555.919922
